,Year,InitNumber,Title,Qualified/Failed,PropNum,Appoved/Rejected,ElectionYear
179,1930,,Sunday Closing Law (S),Q,26,R,1930
181,1932,,Store Licenses,F,,,
182,1932,,Tideland Grant to City of Huntington Beach,F,,,
183,1932,,Wright Act Repeal (S),Q,1,A,1932
184,1932,,State Liquor Regulation (S),Q,2,A,1932
185,1932,,Foreclosure of Mortgages and Trust Deeds (S),Q,3,R,1932
186,1932,,Racing (S),Q,5,R,1932
187,1932,,School Funds. Income Sales Tax (S),Q,9,R,1932
188,1932,,Tideland Grant to City of Huntington Beach (CA),Q,11,R,1932
190,1933,,Permitting Intoxicating Liquor in Public Eating Places,F,,,
192,1934,,California Bar Association,F,,,
193,1934,,*Cooperatives,F,,,
194,1934,,Gross Receipts Tax,F,,,
195,1934,,*Old Age Pensions,F,,,
196,1934,,Repeal of Criminal Syndicalism Act,F,,,
197,1934,,*Repeal of Sales Taxes,F,,,
198,1934,,School Teachers,F,,,
199,1934,,*Store Licenses,F,,,
200,1934,,*Sunday Closing Law,F,,,
201,INITIATIVENUMBER,,,,,,
203,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
205,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
207,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
209,ELECTIONYEAR,,,,,,
214,1934,,F,,,,
215,1934,,F,,,,
216,1934,,Q,2,A,1934,
217,1934,,Q,3,A,1934,
218,1934,,Q,4,A,1934,
219,1934,,Q,5,A,1934,
220,1934,,Q,6,A,1934,
221,1934,,Q,7,A,1934,
222,1934,,Q,9,R,1934,
223,1934,,Q,11,R,1934,
224,1934,,Q,13,R,1934,
225,1934,,Q,17,R,1934,
226,1934,,F,,,,
227,1934,,Q,11,R,1936,
229,1935,,Q,2,R,1936,
231,1936,,F,,,,
232,1936,,F,,,,
233,1936,,F,,,,
234,1936,,F,,,,
235,1936,,F,,,,
236,1936,,F,,,,
237,1936,,Q,,A**,1936,
238,1936,,Q,3,R,1936,
239,INITIATIVENUMBER,,,,,,
241,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
243,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
245,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
247,ELECTIONYEAR,,,,,,
253,1936,,Prohibiting Tideland Surface Oil Drilling. Authorizing Slant Drillingfrom Uplands (S),Q,4,R,1936
254,1936,,County and Municipal Civil Service (CA),Q,7,R,1936
255,1936,,Intoxicating Liquors. Local Option (CA),Q,9,R,1936
256,1936,,Motor Vehicle Fuel Taxes and License Fees (CA),Q,10,R,1936
259,1938,,Advertising Sale of Liquor,F,,,
260,1938,,Alcoholic Rehabilitation Fund,F,,,
261,1938,,California Highway Patrol Vehicular Traffic Regulation,F,,,
262,1938,,Local Liquor Control,F,,,
263,1938,,Prohibiting Liquor Traffic Near Schools,F,,,
264,1938,,Ratifying Initiative Tax and Pension Act,F,,,
265,1938,,Retirement Annuities,F,,,
266,1938,,Taxing Transactions. Repealing Other Taxes. Pension for Aged,F,,,
267,1938,,Labor (S),Q,,R,
268,1938,,Regulation of Pounds (S),Q,2,R,1938
269,1938,,Highway and Traffic Safety Commission (S),Q,4,R,1938
270,1938,,Fishing Control (S),Q,5,A,1938
271,1938,,Taxation (S),Q,20,R,1938
272,1938,,Retirement Life Payments (S),Q,25,R,1938
273,1938,,Retirement Warrants (S),Q,1,R,1939
274,1938,,Chiropractors (S),Q,2,R,1939
276,1939,,Daylight Saving (S),Q,5,R,1940
279,1940,,Gross Income Tax Warrant Credits,F,,,
280,1940,,Liquor Prohibition,F,,,
281,1940,,Local Liquor Control,F,,,
282,INITIATIVENUMBER,,,,,,
284,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
286,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
288,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
290,ELECTIONYEAR,,,,,,
296,1940,,*Naturopathy,F,,,
297,1940,,Old Age Pensions,F,,,
298,1940,,Pension Sweepstakes,F,,,
299,1940,,Tax on Gross Receipts,F,,,
300,1940,,*Reorganization of Building and Loan Associations (to be presentedto the 1941 Legislature),Q,10,R,1942
302,1942,,Alcoholic Beverages. Local Control,F,,,
303,1942,,Warrants. State Bank. Gross Income Tax,F,,,
304,1942,,Basic Science Act (S),Q,3,R,1942
305,1942,,Personal Income Tax Laws (CA),Q,4,R,1942
307,1944,,Aliens and Persons of Ineligible Ancestry,F,,,
308,1944,,Funds for Elementary Schools (CA),Q,9,A,1944
309,1944,,Retirement Payments. Gross Income Tax (CA),Q,11,R,1944
310,1944,,Right of Employment (CA),Q,12,R,1944
312,1946,,*Abolishes Cross Filing,F,,,
313,1946,,Dog Racing,F,,,
314,1946,,*Exclusion of Minors from Retail Liquor Establishments,F,,,
315,1946,,Nomination of Party Candidates. Prohibits Candidates `from SeekingNomination of More Than One Political Party,F,,,
316,1946,,Pensions and Other Matters,F,,,
317,1946,,Reapportionment of Senatorial Districts,F,,,
318,1946,,Regulating Mode of Collective Bargaining and Solicitation of LaborUnion Members,F,,,
319,1946,,*Regulation of Labor Organizations,F,,,
320,1946,,Treatment of Sick and Disabled,F,,,
321,1946,,Greyhound Racing (S),Q,2,R,1946
322,1946,,Public Schools (S),Q,3,A,1946
323,INITIATIVENUMBER,,,,,,
325,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
327,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
329,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
331,ELECTIONYEAR,,,,,,
337,1946,,Fair Employment Practices Act (S),Q,11,R,1946
339,1948,,"Pensions, Taxes, Initiative and Referenda",F,,,
340,1948,,"Taxes, Gambling, Pensions, Etc.",F,,,
341,1948,,Local Control and Enforcement of Intoxicating Liquors (CA),Q,2,R,1948
342,1948,,Railroad Brakemen (S),Q,3,A,1948
343,1948,,Aged and Blind Act (CA),Q,4,A,1948
344,1948,,Regulation of Commercial Fishing (S),Q,6,R,1948
345,1948,,Local Control of Intoxicating Liquors (CA),Q,12,R,1948
346,1948,,Senate Reapportionment (CA),Q,13,R,1948
347,1948,,Housing (S),Q,14,R,1948
348,1948,,Fish Nets (S),Q,15,R,1948
349,1948,,*Prohibits Vivisection,F,,,
350,1948,,Public Housing Projects. Requiring Election to Establish (CA),Q,10,A,1950
352,1949,,Aged and Blind Act (CA),Q,2,A,1949***
353,1949,,Daylight Saving Time (S),Q,12,A,1949***
355,1950,,*Old Age Assistance,F,,,
356,1950,,Personal Property Taxation (CA),Q,1,R,1950
357,1950,,Legalizing and Licensing Gambling (CA),Q,6,R,1950
358,1950,,*Old Age Assistance (to be presented to 1951 Legislature),Q,11,R,1952
359,1950,,*Elections. Prohibiting Cross-Filing (to be presented to 1951Legislature),Q,13,R,1952
361,1952,,Naturopathy,F,,,
362,1952,,Public School Funds (CA),Q,2,A,1952
363,1952,,Public Funds: Certain Expenditures Prohibited (CA),Q,10,R,1952
365,1954,,Voting Age - Minimum Age of 18,F,,,
366,INITIATIVENUMBER,,,,,,
368,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
370,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
372,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
374,ELECTIONYEAR,,,,,,
380,1954,,Aid to Needy Aged (S),Q,4,R,1954
382,1956,,Sale of Alcoholic Beverages,F,,,
383,1956,,Oil and Gas Conservation (S),Q,4,R,1956
385,1957,,Taxation of School Property of Religious and Other Non-profitOrganization (CA),Q,16,R,1958
387,1958,,Water - 160 Acres,F,,,
388,1958,,"State Sales, Use, and Income Tax Rates (S)",Q,17,R,1958
389,1958,,Employer-Employee Relations (CA),Q,18,R,1958
391,1960,,Abolition of Death Penalty (1960),F,,,
392,1960,,*Repeal of Cigarette Tax Law,F,,,
393,1960,,Senate Reapportionment (S),Q,15,R,1960
395,1961,,Allocation and Expenditure of Street and Highway Funds,F,,,
397,1962,1,State Health Service (CA),F,,,
398,1962,2,Subversive Activities (CA),Q,24,R,1962
399,1962,3,Elementary School Textbooks (CA),F,,,
400,1962,4,Senate Reapportionment (CA),Q,23,R,1962
401,1962,5,Health Care Program for Persons 65 Years of Age or `Over (CA),F,,,
402,1962,6,*Prohibiting Price Fixing (S),F,,,
404,1963,8,Sales and Rentals of Residential Real Property (CA),Q,14,A,1964
405,1963,9,Lottery (CA),Q,16,R,1964
407,1964,10,Television Programs (S),Q,15,A,1964
408,1964,11,Agriculture Pesticides (CA),F,,,
409,INITIATIVENUMBER,,,,,,
411,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
413,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
415,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
417,ELECTIONYEAR,,,,,,
423,1964,12,State Operated Lottery (CA),F,,,
424,1964,13,Railroad Train Crews (S),Q,17,A,1964
425,1964,,State Control of Subversive Activities (CA),F,,,
426,1964,,Public School Funds (CA),F,,,
429,1965,17,Public Lavatories and Restrooms (S),F,,,
430,1965,,Local Regulations (CA),F,,,
431,,19,Local Regulations Concerning Prostitution or Criminal Aspects ofSexual Activity or Related Matters (CA),F,,,
434,1966,20,Family Relations (CA),F,,,
435,1966,21,Marijuana (CA),F,,,
436,1966,22,Obscenity (S),Q,16,R,1966
437,1966,23,Fish and Game Commission: Rules and Regulations (CA),F,,,
438,1966,24,*Repealing Laws on Abortion (S),F,,,
439,1966,25,Taxation: Property Tax Rate (CA),F,,,
440,1966,26,Property Taxation: Burden (CA),F,,,
443,1967,27,Lottery (CA),F,,,
444,1967,28,Night Horse Racing (CA),F,,,
445,1967,29,Taxation: Maximum Rate (CA),F,,,
446,1967,30,Voting Age (CA),F,,,
449,1968,31,Taxation: Restriction on Property Tax (CA),F,,,
450,1968,32,Taxation: Maximum Rate (CA),F,,,
451,1968,33,Discrimination in Housing (S),F,,,
452,INITIATIVENUMBER,,,,,,
454,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
456,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
458,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
460,ELECTIONYEAR,,,,,,
466,1968,34,Age to Vote (CA),F,,,
467,1968,,Taxation: Limitation on Property Tax Rate (CA),Q,9,R,1968
468,1968,36,Voting Age (CA),F,,,
471,1969,37,Age to Vote (CA),F,,,
472,1969,38,Maximum School District Tax Rates (S),F,,,
473,1969,39,Pollution (CA),F,,,
474,1969,40,Pollution (S),F,,,
475,1969,41,Schools: Busing for Integration (S),F,,,
476,1969,42,Age to Vote (CA),F,,,
477,1969,43,Compensation and Reimbursement of Legislators (CA),F,,,
478,1969,,Taxation for Schools and Social Welfare (CA),Q,8,R,1970
479,1969,45,Taxation. School Purposes (CA),F,,,
482,1970,46,Taxation: Limitation of Property Tax Rate on Owner OccupiedDwelling (CA),F,,,
483,1970,47,Taxation of Land Only (CA),F,,,
484,1970,48,Bingo (CA),F,,,
485,1970,49,Abortion (S),F,,,
486,1970,50,Tuition and Other Fees (CA),F,,,
487,1970,51,Undeclared Wars: Resident Participation (S),F,,,
488,1970,52,Pollution (S),Q,9,R,1972
491,1971,53,Marijuana (CA),F,,,
492,1971,54,Salaries for Elective Offices (CA),F,,,
493,1971,55,Property Taxation (CA),F,,,
494,1971,56,Salaries for Elective Offices (CA),F,,,
495,INITIATIVENUMBER,,,,,,
497,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
499,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
501,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
503,ELECTIONYEAR,,,,,,
508,1971,57,F,,,,
509,1971,58,Q,14,R,1972,
510,1971,59,F,,,,
513,1972,60,Q,21,A,1972,
514,1972,61,F,,,,
515,1972,62,F,,,,
516,1972,63,Q,19,R,1972,
517,1972,64,Q,15,R,1972,
518,1972,65,F,,,,
519,1972,66,F,,,,
520,1972,67,Q,16,R,1972,
521,1972,68,Q,17,A,1972,
522,1972,69,Q,20,A,1972,
523,1972,70,Q,22,R,1972,
524,1972,71,F,,,,
525,1972,72,F,,,,
526,1972,73,Q,18,R,1972,
527,1972,74,F,,,,
530,1973,75,F,,,,
531,1973,76,Q,1,R,1973,
532,1973,77,Q,9,A,1974,
533,1973,78,F,,,,
534,1973,,F,,,,
535,1973,,F,,,,
536,1973,81,F,,,,
537,INITIATIVENUMBER,,,,,,
539,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
541,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
543,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
545,ELECTIONYEAR,,,,,,
553,1974,82,Explicit Sexual Material Sale and Display (S),F,,,
554,1974,83,Unicameral Legislature (CA),F,,,
555,1974,84,Political Parties - Requirements to Qualify for the Ballot (S),F,,,
556,1974,85,Wild and Scenic Rivers (S),Q,17,R,1974
557,1974,86,Petroleum Industry Regulation (S),F,,,
558,1974,87,Nuclear Power Plants Restrictions on Construction and Operation(S),F,,,
559,1974,88,Taxes on Dwellings - Retired and Disabled Owners (CA),F,,,
560,1974,89,Probation Prohibited for Certain Persons (S),F,,,
561,1974,,Off-Track Horse Race Wagering and Nevada-Type Gaming (CA),F,,,
562,1974,91,Fiscal Policy (S),F,,,
563,1974,,Casino Gaming and Lottery (CA),F,,,
564,1974,,Taxes on Publicly-Traded Securities (CA),F,,,
565,1974,,Lie Detector Examination (CA),F,,,
566,1974,,Death Penalty Prohibition (CA),F,,,
567,1974,,Alcoholic Beverages (CA),F,,,
568,1974,,Peremptory Challenges in Jury Trial (CA),F,,,
569,1974,,Excise Tax on Credit Transactions (CA),F,,,
570,1974,,Excise Taxes Upon Interest and Stock Dividends (CA),F,,,
571,1974,,Excise Tax on Income (CA),F,,,
572,1974,,Real Property Transfer Tax (CA),F,,,
573,1974,,Bail (CA),F,,,
574,1974,,Price Limitation (CA),F,,,
575,1974,,Income Tax (S),F,,,
576,1974,,Cigarette Taxes and Prices (S),F,,,
577,1974,,Employee Wages and Termination (S),F,,,
578,1974,,Property Taxes (CA),F,,,
579,1974,,Wage Execution Exemption (CA),F,,,
580,INITIATIVENUMBER,,,,,,
582,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
584,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
586,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
588,ELECTIONYEAR,,,,,,
594,1974,,Narcotics and Dangerous Drugs (CA),F,,,
595,1974,,Closing Argument to Jury (CA),F,,,
596,1974,,Real Estate Rents Limitation (S),F,,,
597,1974,,Property Tax Limitation (CA),F,,,
598,1974,,Off-Track Betting and Nevada-Type Gaming (CA),F,,,
599,1974,,Nuclear Power Plants (S),Q,15,R,1976
602,1975,115,Off-Track Betting and Nevada-Type Gaming (CA),F,,,
603,1975,116,Malpractice Awards (S),F,,,
604,1975,117,Taxation (CA),F,,,
605,,118?,,,,,
606,1975,,Extended Pari-Mutuel Wagering and Gaming (CA),F,,,
607,1975,120,Two-thirds Vote Tax Act of 1976 (CA),F,,,
608,1975,,Rejection of Candidates (S),F,,,
609,1975,122,Health Care (S),F,,,
610,1975,123,Domestic Energy (S),F,,,
611,1975,124,"Compensation, Elected Officials (CA)",F,,,
612,1975,125,Greyhound Dog Racing (S),Q,13,R,1976
615,1976,126,Extended Pari-Mutuel Wagering and Gaming (CA),F,,,
616,1976,127,Sexual Offenses (S),F,,,
617,1976,128,Extended Pari-Mutuel Wagering and Gaming (CA),F,,,
618,1976,129,Handgun Regulation (S),F,,,
619,1976,130,Local Control of Coastal Zone (CA),F,,,
620,1976,131,Smoking (S),F,,,
621,1976,132,Public Employees (CA),F,,,
622,1976,133,Real Property Taxation (CA),F,,,
623,1976,134,Taxation (CA),F,,,
624,INITIATIVENUMBER,,,,,,
626,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
628,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
630,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
632,ELECTIONYEAR,,,,,,
638,1976,,Employees of Public Agencies (CA),F,,,
639,1976,137,Redevelopment Plans. Tax Increment Financing (S),F,,,
640,1976,138,Agricultural Labor Relations (S),Q,14,R,1976
641,1976,139,Patient Compensation Boards (CA),F,,,
642,1976,140,"Minors, Medical Care - Parental Consent (S)",F,,,
643,1976,141,Real Property Taxation (CA),F,,,
644,1976,142,Taxation of Real Property (CA),F,,,
645,1976,143,Maximum Speed Limit (S),F,,,
646,1976,144,"Compensation, Elected Officials (CA)",F,,,
647,1976,145,Property Taxation (CA),F,,,
648,1976,146,Property Tax Limitations and Exemptions (CA),F,,,
649,1976,147,Residential Real Property Tax Limitation (CA),F,,,
650,1976,148,Financing Campaigns for State Offices (S),F,,,
651,1976,149,State and Local Tax Limitation (CA),F,,,
652,1976,150,Extended Pari-Mutuel Wagering and Gaming (CA),F,,,
655,1977,151,Enactment of Tax Measures by Legislature (CA),F,,,
656,1977,152,Prohibition of Strikes by Public Employees (CA),F,,,
657,1977,153,Property Tax Limitation (CA),Q,13,A,1978
658,1977,154,Real Property Taxation (CA),F,,,
659,1977,155,School Teachers - Homosexual Acts or Conduct (S),F,,,
660,1977,156,Regulation of Smoking (S),Q,5,R,1978
661,1977,157,Dogs and Cats - Method of Killing (S),F,,,
662,1977,158,Extended Pari-Mutuel Horse Race Wagering and Gaming (CA),F,,,
663,1977,159,Birds and Mammals - Jawed Traps Prohibited (S),F,,,
664,1977,160,School Employees - Homosexuality (S),Q,6,R,1978
665,1977,161,State Funding of Elementary and Secondary Education (CA),F,,,
666,1977,162,Transportation of School Pupils (CA),F,,,
667,1977,163,Limitation of Public Funding for Abortions (S),F,,,
668,INITIATIVENUMBER,,,,,,
670,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
672,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
674,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
676,ELECTIONYEAR,,,,,,
682,1977,164,Taxation (CA),F,,,
683,1977,165,Agricultural Labor Relations (S),F,,,
684,1977,166,Murder - Penalty (S),Q,7,A,1978
687,1978,167,"Transportation - Assignments, School Pupils (CA)",F,,,
688,1978,168,Local Property Tax Funds (CA),F,,,
689,1978,169,Property Tax Assessment Ratio (CA),F,,,
690,1978,170,"Race, Religion, Sex, Ethnic Background. Prohibits PreferentialTreatment (CA)",F,,,
691,1978,171,Gaming and Extended Pari-Mutuel Horse Race Wagering (CA),F,,,
692,1978,172,Income and Sales Tax Rates (CA),F,,,
693,1978,173,Public Morals (S),F,,,
694,1978,174,State Funding of Education (CA),F,,,
695,1978,175,Pupil Transportation to Alter Racial Ratios: Use of State or Local TaxRevenue (CA),F,,,
696,1978,176,Nuclear Generation of Electric Power (S),F,,,
697,1978,177,Blasphemy (CA),F,,,
698,1978,178,Domestic Energy (S),F,,,
699,1978,179,Termination of Parental Rights (CA),F,,,
700,1978,180,Off-Track Horse Race Wagering,F,,,
701,1978,181,State Operated Lotteries (CA),F,,,
702,1978,182,Unemployment and Disability Insurance (CA),F,,,
703,1978,183,Extended Pari-Mutuel Horse Race Wagering and Gaming (CA),F,,,
704,1978,,Government Appropriations Limitations (CA),F,,,
705,1978,185,Limitation of Government Appropriations (CA),Q,4,A,1979***
706,1978,186,Marijuana (S),F,,,
709,1979,187,School District Organization. Power of Legislature (CA),F,,,
710,INITIATIVENUMBER,,,,,,
712,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
714,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
716,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
718,ELECTIONYEAR,,,,,,
724,1979,188,School Integration. Pupil Transportation. Privileges and Immunities(CA),F,,,
725,1979,189,Work Permits (CA),F,,,
